                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.5804,                 1.1982,                0.96648,                0.37809,                 0.2711,                0.26232,                 0.1437,                 1.5352,                 1.2143,                0.95891,               0.008449,               0.008449,               0.008449
                     50,                 1.5703,                 1.1901,                0.95676,                0.35337,                0.26861,                0.24881,                0.13707,                 1.5259,                 1.1742,                0.95493,               0.008416,               0.008416,               0.008416
                     51,                 1.5481,                 1.1547,                0.95629,                0.36075,                0.28779,                0.27577,                0.15451,                 1.4746,                 1.1413,                  0.948,               0.008383,               0.008383,               0.008383
                     52,                 1.5461,                 1.1683,                0.96158,                0.38427,                0.29444,                0.27234,                0.15426,                 1.4846,                 1.1928,                0.95299,                0.00835,                0.00835,                0.00835
                     53,                 1.5521,                 1.1713,                0.95218,                0.37885,                0.28321,                0.26875,                0.15199,                 1.4839,                 1.1426,                0.95146,               0.008317,               0.008317,               0.008317
                     54,                 1.5733,                 1.1781,                0.95936,                0.38525,                0.26864,                0.25661,                 0.1401,                 1.5117,                 1.1765,                0.95239,               0.008284,               0.008284,               0.008284
                     55,                 1.5438,                 1.1674,                0.95545,                0.45753,                0.25425,                0.25113,                0.14182,                 1.5153,                 1.1877,                0.95491,               0.008251,               0.008251,               0.008251
                     56,                 1.5394,                 1.1494,                 0.9598,                0.41228,                0.29936,                0.28205,                0.16085,                  1.475,                 1.1445,                 0.9467,               0.008218,               0.008218,               0.008218
                     57,                 1.5088,                 1.1412,                0.95669,                0.40319,                0.30535,                0.29659,                0.16821,                 1.4336,                 1.0989,                0.93731,               0.008185,               0.008185,               0.008185
                     58,                 1.5375,                 1.1336,                0.95604,                0.44205,                0.29053,                  0.291,                0.16399,                 1.4613,                 1.1118,                0.95404,               0.008152,               0.008152,               0.008152
                     59,                 1.5193,                 1.1289,                0.95354,                 0.3956,                0.28469,                0.27058,                0.14746,                 1.5259,                 1.1533,                0.95595,               0.008119,               0.008119,               0.008119
                     60,                 1.5386,                 1.1337,                0.95392,                0.45852,                0.29625,                0.29274,                 0.1666,                 1.4446,                 1.0948,                0.94348,               0.008086,               0.008086,               0.008086
                     61,                 1.5685,                 1.1648,                0.96136,                0.32766,                0.24654,                 0.2302,                0.12262,                 1.6334,                 1.1978,                0.97521,               0.008053,               0.008053,               0.008053
                     62,                  1.554,                 1.1453,                0.96104,                0.48004,                0.27984,                0.28539,                0.16004,                 1.4778,                 1.1245,                0.94789,                0.00802,                0.00802,                0.00802
                     63,                 1.5518,                 1.1472,                0.96012,                0.40044,                 0.2989,                0.28732,                0.16249,                 1.4801,                 1.1066,                0.95038,               0.007987,               0.007987,               0.007987
                     64,                  1.553,                 1.1405,                0.95873,                0.39811,                0.29718,                0.29075,                0.16351,                 1.4754,                 1.1061,                0.94166,               0.007954,               0.007954,               0.007954
                     65,                  1.541,                 1.1311,                0.95384,                0.43485,                0.29986,                0.30164,                0.17193,                 1.4436,                  1.094,                0.94041,               0.007921,               0.007921,               0.007921
                     66,                 1.5605,                  1.147,                0.96455,                0.41391,                0.29382,                0.29712,                0.16886,                 1.4664,                 1.0873,                0.94415,               0.007888,               0.007888,               0.007888
                     67,                 1.5215,                 1.1278,                0.94479,                0.42031,                0.28921,                0.29422,                0.16742,                 1.4606,                 1.1024,                0.94697,               0.007855,               0.007855,               0.007855
                     68,                  1.508,                 1.1204,                0.94731,                0.43815,                0.30175,                0.30955,                0.17284,                 1.4548,                 1.0707,                0.94332,               0.007822,               0.007822,               0.007822
                     69,                 1.5105,                 1.1083,                0.94228,                0.42422,                0.28945,                0.28961,                0.16021,                 1.4458,                 1.1695,                0.94242,               0.007789,               0.007789,               0.007789
                     70,                 1.5423,                 1.1421,                0.95316,                0.43437,                0.31257,                0.30976,                0.17655,                 1.4273,                 1.0754,                0.93637,               0.007756,               0.007756,               0.007756
                     71,                 1.5152,                 1.1156,                0.94987,                 0.4577,                0.29918,                0.30483,                0.17618,                 1.4254,                  1.077,                0.93335,               0.007723,               0.007723,               0.007723
                     72,                 1.4923,                 1.0885,                0.93897,                0.42825,                0.31376,                0.31087,                0.17889,                  1.448,                 1.0686,                0.93579,                0.00769,                0.00769,                0.00769
                     73,                 1.4627,                 1.0689,                0.94128,                0.43888,                 0.3107,                0.31515,                0.18155,                 1.4115,                 1.0721,                 0.9309,               0.007657,               0.007657,               0.007657
                     74,                 1.5084,                 1.1137,                 0.9535,                0.45978,                0.31606,                0.31238,                 0.1777,                 1.4116,                 1.0761,                0.93237,               0.007624,               0.007624,               0.007624
                     75,                 1.4963,                 1.0958,                0.94371,                0.40911,                0.31028,                0.30176,                 0.1741,                 1.4388,                 1.0795,                0.94132,               0.007591,               0.007591,               0.007591
                     76,                 1.4836,                 1.0916,                0.94297,                0.43234,                 0.3147,                0.31877,                0.18397,                 1.4066,                 1.0552,                0.93044,               0.007558,               0.007558,               0.007558
                     77,                 1.4638,                 1.0861,                0.94286,                0.44437,                0.30637,                0.31266,                0.17891,                 1.4452,                  1.061,                0.93627,               0.007525,               0.007525,               0.007525
                     78,                 1.5012,                 1.0889,                0.94418,                0.42903,                0.30735,                 0.3144,                0.17726,                 1.4388,                 1.0687,                0.93743,               0.007492,               0.007492,               0.007492
                     79,                 1.4783,                 1.0816,                0.94044,                0.39945,                0.32008,                0.30559,                0.17307,                 1.4332,                 1.1078,                  0.937,               0.007459,               0.007459,               0.007459
                     80,                 1.4838,                 1.0816,                0.94034,                0.41676,                0.32314,                0.31204,                0.17476,                 1.4398,                 1.0858,                0.93628,               0.007426,               0.007426,               0.007426
                     81,                 1.4679,                 1.0623,                0.93843,                0.43076,                 0.3203,                0.32293,                0.18391,                 1.4171,                 1.0543,                0.93173,               0.007393,               0.007393,               0.007393
                     82,                 1.4954,                 1.0958,                 0.9394,                0.44318,                0.31689,                0.31635,                0.17968,                 1.4342,                 1.0658,                0.93291,                0.00736,                0.00736,                0.00736
                     83,                 1.5099,                  1.109,                0.95298,                 0.4309,                0.30834,                0.30954,                0.17587,                 1.4343,                 1.1169,                0.93592,               0.007327,               0.007327,               0.007327
                     84,                 1.5034,                 1.1036,                0.93904,                0.45814,                0.30443,                0.30986,                0.17459,                 1.4381,                  1.085,                0.93353,               0.007294,               0.007294,               0.007294
                     85,                 1.4827,                 1.0808,                0.95016,                0.43962,                0.32454,                0.33004,                0.18947,                  1.405,                 1.0497,                0.92736,               0.007261,               0.007261,               0.007261
                     86,                  1.517,                 1.1013,                 0.9491,                0.47891,                0.32542,                0.33627,                0.19535,                 1.3884,                 1.0198,                0.92591,               0.007228,               0.007228,               0.007228
                     87,                 1.4735,                 1.0627,                0.93797,                0.51362,                0.32733,                0.34335,                0.20013,                   1.37,                 1.0277,                0.92254,               0.007195,               0.007195,               0.007195
                     88,                 1.4434,                 1.0574,                0.93189,                0.43058,                0.32451,                0.32755,                0.19008,                 1.4054,                 1.0401,                0.92782,               0.007162,               0.007162,               0.007162
                     89,                 1.4447,                 1.0514,                0.93477,                0.50243,                0.33414,                0.34685,                0.20072,                 1.3944,                 1.0139,                0.92505,               0.007129,               0.007129,               0.007129
                     90,                 1.4686,                 1.0681,                0.93729,                0.45108,                 0.3239,                0.32579,                0.18808,                 1.3915,                 1.0438,                0.92496,               0.007096,               0.007096,               0.007096
                     91,                 1.4766,                 1.0635,                0.93648,                0.48025,                0.32636,                0.34063,                0.19651,                 1.4053,                 1.0162,                0.92741,               0.007063,               0.007063,               0.007063
                     92,                 1.4805,                 1.0676,                0.93555,                0.45784,                0.33758,                0.34118,                0.19613,                 1.3888,                 1.0129,                0.92276,                0.00703,                0.00703,                0.00703
                     93,                 1.4737,                 1.0514,                0.93461,                 0.5098,                0.32757,                0.34903,                0.20453,                 1.3601,                  1.006,                0.92066,               0.006997,               0.006997,               0.006997
